,review_id,business_id,name,user_id,stars,text,categories
0,8A5__uLlpYDaXaYNdtWU6g,PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,a8wKua129w25q4wtP26p2g,2,"In one word: Dry.

In three words: Dry and flavorless.

Preferred Geno's, but only because his cheez whiz makes it less dry.

My comparison review of Genos v. Pats:
Despite their poor reviews on Yelp for being over priced, less than spectacular, and staffed by greasy men with the unique streak of arrogance borne of notoriety, we felt that experiencing the origins of the 'steak would be more rewarding than tracking down steakeries more highly regarded by the on-line community. 

So off to South Philly we ventured. We had been warned by other steak hunters that the area inhabited by the legendary steakeries was dilapidated and dangerous- so we were happily surprised to find them located in a vibrant community reminiscent of the San Francisco Mission (except with a lot less Latinos and a lot more Italians.) 

Arriving unmolested, we broke into teams to procure steaks from each of the shops (without out having to stand in both the long winding lines sequentially.) Our team went to Geno's, while Priscilla, Tammy and Sam went to Pat's to pick up our steaks. 
Geno's was interestingly decorated in photo's of the owner and his son posing with scantily-clad, skanky looking women and various celebs, as well as over the top pro-American propaganda and anti-immigrant rhetoric. 

I was warned by a woman in line that I must order our steaks with the whiz. Apparently it caused quite an uproar when John Kerry failed to order the traditional ""South Philly,"" from Geno's- note that Pat's doesn't serve the whiz, so apparently the style only represents the north corner of the intersection, rather than all of South Philly.

When I returned to our seats, team 2 had already procured our steaks from Pats. Apparently some confusion had occurred during ordering, and we now had in our possession 7 steaks- 4 from Pats, and 3 from Genos. 

Both steaks were pretty basic- thin strips of steak with onions on bland French rolls; Pat's came with the traditional Provolone and Geno's with the aforementioned Cheese Whiz.

I started by eating one half of a Pat's steak. It was decent, but uninspiring. Several members of the expedition complained that Pat's Steaks were too dry. While not overly moist, I didn't share their concern; however the flavor was lacking in my opinion. Pat's Steaks were very bland in flavor, reminding me of my own creations before I got down with Montreal seasoning and fresh garlic. The cheese was also lacking in flavor. 

Next, I moved onto a Geno's steak, with the Whiz. I was intrigued by the flavor and consistency of the Whiz; the steak was juicier than Pat's and the Whiz and grease mixed into thin cheese-gravy that soaked the otherwise bland roll. The meat was similarly bland to that of Pat's, but the flavor of the Whiz compensated for the most part. 

I ended up consuming about 2.5-3 steaks in various portions in the sitting, as a excess had been ordered and various members of the expedition were unable to complete their missions, so I feel that I am qualified to end the age old debate as to who makes the best Cheese Steak:

Consensus amongst the group was that Geno's made the better steak of the two, but Geno's lost points due to the quasi-racist vibe, and at least 1 member of the expedition didn't care much for the Whiz. If we had spent more than a single night in Philly, we would have undoubtedly searched for less famous, but more delectable competition, but unfortunately we left the City of Brotherly love disappointed by the over-hyped, over-rated 'steaks. 


Mike's Ratings: (On a scale from 1-5, 5 being perfect and 1 being inedible.)


Cheese Steak Shop: 4.5-5 (Great tasting, but pretty expensive. I require a 15' to fully satisfy my hunger)
Geno's: 3-3.5 (Tasty, also too damn expensive) 
Pat's: 2.5-3 (Very bland, I can do better at home.)


Vanessa's Ratings:
Cheese Steak Shop: 5 (""Yummy!"")
Geno's: 3.5 (""I wouldn't go out of my way to stand in that line & he's racist."")
Pat's: 2 (""It was too dry."")","Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks"
1,2gM71kojjANDrJpZkbt--A,PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,xwt7dExAWe9HsV8LSSs2kA,5,had cheese steaks all over philly and nobody could touch pat's in my opinion. geno's was not even close,"Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks"
2,0kqSudmDoJhdq6tnsEkHcw,PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,YEwOsY8D0_MFaI_fGRDFBA,5,Hands down the best cheese steaks ever!!! I traveled all over the U.S for my job and Pats is still the BEST!! Do not go through or near Philly without stopping at Pats!!!!,"Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks"
3,aBh6_BV-f7MjbE16IPolBw,PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,Qb3WSjOsDTinmc_A8Bd0Lw,2,"So basically because it's famous, they over charge for their overly greasy and mediocre cheesesteaks, but you're still going to go here. The guy taking my order reminded me of the Soup Nazi and I was scared to mess up my order. A cheesesteak is $10, fries $4.50. Crazy right? The sizes are smaller than others I've had, extremely greasy, under seasoned and extremely overrated. As fast as I got my cheesesteak it wasn't even hot, what?! Jim's and Ishkabibble's on South St are way better... don't waste your time or money.","Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks"
4,vxhF8P681sA_nV1yvg0QeA,PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,QzM3olcz5wKasQKqLMOftg,1,"You. Are. Kidding. This is the worst cheese steak I ever had! Stale bread, grizzled meat. Not even close to good. The Emperor's New Clothes. A joke and a ripoff. Geno's is no better, by the way. These are gimmicks.  Go to Sheetz.","Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks"
5,zTIdESODBypD8v3SkxPUpg,PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,KM72o6F0BLWJKgfGvXw6HQ,4,"I can't really compare Pat's and Geno's since I didn't have to taste Geno's cheesteaks, but Pat's was quite good!

There were so many flavor combination available but I stuck to ""Steak Whiz Wit-Out""(no onions just cheez whiz)! Make sure you do your order right, be quick and have cash.

@ lunch-be prepared to find parking and/or eat while standing. Don't you worry...it's all worth it.

I stopped @ Pat's hours before my flight back to Cali and wished I ordered another one for my plane ride back home.","Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks"
6,PvWRtR_58oi_T9Pfbpuc8w,PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,yQVQDr4p9P3PEDE5n7Anhg,5,Never fails to hit the spot at anytime this is always the best cheesesteaks in Philly hands down,"Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks"
7,NQu0tvOvBrm3Kz1mKlVcjQ,PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,LAAuycmn_2knS2Nst9PJrA,4,"Finally a real Philly Cheese Steak. I got a whiz wit. The bread was soft, the meat was, well meaty, and the cheese was whizzy. Best cheese steak I ever had.","Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks"
8,gJ5VYnsqnelPmG5BaxepMQ,PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,IdV-Y-VKTGK4ug4nGLWhbg,4,"Claim to be the inventors of the Philly Cheesesteak. We literally walked 2.5 miles to get here (our own decision), so we were starving when we got there. Don't worry when you see the long line; they serve about 15 people a minute (no joke). I asked for American cheese on mine, but I'm pretty sure you get cheese wiz no matter what. Also watch out for the service: I'm pretty sure the rudeness is part of the act, but I was very taken aback when the guy yelled at me WHILE I was ordering. Definitely be prepared when you step up to order.

All of that being said, the food was great! I got the cheesesteak with onions and covered it with ketchup. Delicious! And definitely get the fries!! Literally the best fries I've ever had. If you're looking for fast food, this is a great choice. Minus one star only for the service.","Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks"
9,y8DyPWzKxmrPvVM0cyZDpQ,PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,K-9a1lPwY0COz0U35ikYVQ,2,Its not as good as you think... like at all I can make a better cheesesteak at home no lie. They rush you to order the steak was tough and chewy something like gum seemed like it was sitting on the grill for hrs before we got it it. The cheese sauce was good but there was barely any on it. Even there bread wasn't the best it was just to much of it and it was kinda old like it was sitting in the freezer for weeks and they just took it out and sold it.  The best part of this place is the fries lol I won't be coming back to be honest with you I was sorely disappointed in this place.,"Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks"
